Column,Key,Value
"PUHRCK4","2","IF ENTRY OF 2, D OR R IN BUS2 THEN GOTO HROFF1"
"PUHRCK4","3","IF HRUSLT IS 0-34 THEN GOTO HRWANT"
"PUHRCK4","4","IF ENTRY OF 2 IN HRFTPT THEN GOTO HRWANT"
"PUHRCK4","5","ALL OTHERS GOTO HRACT1"
"PUHRCK5","1","IF ENTRY OF 1 IN MJOT GOTO HRACT2"
"PUHRCK5","2","ALL OTHERS GOTO HRCK6-C"
"PUHRCK6","1","IN ABSOT AND GOTO ABSRSN"
"PUHRCK6","2","IF HRACT1 AND HRACT2 EQ 0 THEN"
"PUHRCK6","3","ALL OTHERS GOTO HRACTT-C"
"PUHRCK7","1",", 2, 3 IN HRRSN1) GOTO HRAVL"
"PUHRCK7","2","(IF ENTRY OF 2, D OR R IN BUS2) AND"
"PUHRCK7","3",""
"PUHRCK7","35",") AND ENTRY IN HRACT1 OR HRACT2"
"PUHRCK7","4","IF ENTRY OF 1 IN HRWANT AND HRACTT < 35"
"PUHRCK7","5","ALL OTHERS GOTO HRCK8"
"PUHRCK12","1","IF ENTRY OF 2, D OR R IN BUS2"
"PUHRCK12","15",""
"PUHRCK12","2","ALL OTHERS GOTO IOCK1"
"PULAYDT","1","YES"
"PULAYDT","2","NO"
"PULAY6M","1","YES"
"PULAY6M","2","NO"
"PELAYAVL","1","YES"
"PELAYAVL","2","NO"
"PULAYAVR","1","OWN TEMPORARY ILLNESS"
"PULAYAVR","2","GOING TO SCHOOL"
"PULAYAVR","3","OTHER"
"PELAYLK","1","YES"
"PELAYLK","2","NO"
"PELAYDUR","01","-51	Weeks on layoff"
"PELAYDUR","52","weeks starting April 2011"
"PELAYFTO","1","YES"
"PELAYFTO","2","NO"
"PULAYCK1","1","GOTO PULAYCK3"
"PULAYCK1","2","GOTO PULAYFT"
"PULAYCK1","3","GOTO PULAYDR"
"PULAYCK2","1","GOTO PULAYDR3"
"PULAYCK2","2","GOTO PULAYFT"
"PULAYCK3","1","MISCK = 5 GOTO IO1INT"
"PULAYCK3","2","I-ICR = 1 OR I-OCR = 1, GOTO IO1INT"
"PULAYCK3","3","ALL OTHERS GOTO SCHCK"
"PULK","1","YES"
"PULK","2","NO"
"PULK","3","RETIRED"
"PULK","4","DISABLED"
"PULK","5","UNABLE TO WORK"
"PELKM1","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PELKM1","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PELKM1","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PELKM1","4","CONTACTED FRIENDS OR RELATIVES"
"PELKM1","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PELKM1","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PELKM1","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PELKM1","8","PLACED OR ANSWERED ADS"
"PELKM1","9","OTHER ACTIVE"
"PELKM1","10","LOOKED AT ADS"
"PELKM1","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PELKM1","12","NOTHING"
"PELKM1","13","OTHER PASSIVE"
"PULKM2","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKM2","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKM2","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKM2","4","CONTACTED FRIENDS OR RELATIVES"
"PULKM2","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKM2","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKM2","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKM2","8","PLACED OR ANSWERED ADS"
"PULKM2","9","OTHER ACTIVE"
"PULKM2","10","LOOKED AT ADS"
"PULKM2","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKM2","13","OTHER PASSIVE"
"PULKM3","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKM3","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKM3","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKM3","4","CONTACTED FRIENDS OR RELATIVES"
"PULKM3","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKM3","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKM3","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKM3","8","PLACED OR ANSWERED ADS"
"PULKM3","9","OTHER ACTIVE"
"PULKM3","10","LOOKED AT ADS"
"PULKM3","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKM3","13","OTHER PASSIVE"
"PULKM4","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKM4","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKM4","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKM4","4","CONTACTED FRIENDS OR RELATIVES"
"PULKM4","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKM4","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKM4","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKM5","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKM5","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKM5","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKM5","4","CONTACTED FRIENDS OR RELATIVES"
"PULKM5","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKM5","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKM5","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKM5","8","PLACED OR ANSWERED ADS"
"PULKM5","9","OTHER ACTIVE"
"PULKM5","10","LOOKED AT ADS"
"PULKM5","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKM5","13","OTHER PASSIVE"
"PULKM6","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKM6","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKM6","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKM6","4","CONTACTED FRIENDS OR RELATIVES"
"PULKM6","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKM6","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKM6","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKM6","8","PLACED OR ANSWERED ADS"
"PULKM6","9","OTHER ACTIVE"
"PULKM6","10","LOOKED AT ADS"
"PULKM6","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKM6","13","OTHER PASSIVE"
"PULKDK1","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK1","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK1","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK1","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK1","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK1","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK1","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK1","8","PLACED OR ANSWERED ADS"
"PULKDK1","9","OTHER ACTIVE"
"PULKDK1","10","LOOKED AT ADS"
"PULKDK1","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKDK1","12","NOTHING"
"PULKDK1","13","OTHER PASSIVE"
"PULKDK2","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK2","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK2","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK2","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK2","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK2","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK2","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK2","8","PLACED OR ANSWERED ADS"
"PULKDK2","9","OTHER ACTIVE"
"PULKDK2","10","LOOKED AT ADS"
"PULKDK2","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKDK2","13","OTHER PASSIVE"
"PULKDK3","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK3","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK3","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK3","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK3","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK3","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK3","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK4","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK4","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK4","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK4","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK4","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK4","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK4","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK4","8","PLACED OR ANSWERED ADS"
"PULKDK4","9","OTHER ACTIVE"
"PULKDK4","10","LOOKED AT ADS"
"PULKDK4","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKDK4","13","OTHER PASSIVE"
"PULKDK5","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK5","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK5","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK5","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK5","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK5","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK5","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK5","8","PLACED OR ANSWERED ADS"
"PULKDK5","9","OTHER ACTIVE"
"PULKDK5","10","LOOKED AT ADS"
"PULKDK5","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKDK5","13","OTHER PASSIVE"
"PULKDK6","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKDK6","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKDK6","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKDK6","4","CONTACTED FRIENDS OR RELATIVES"
"PULKDK6","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKDK6","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKDK6","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKDK6","8","PLACED OR ANSWERED ADS"
"PULKDK6","9","OTHER ACTIVE"
"PULKDK6","10","LOOKED AT ADS"
"PULKDK6","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKDK6","13","OTHER PASSIVE"
"PULKPS1","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS1","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS1","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS1","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS1","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKPS1","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKPS1","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKPS1","8","PLACED OR ANSWERED ADS"
"PULKPS1","9","OTHER ACTIVE"
"PULKPS1","10","LOOKED AT ADS"
"PULKPS1","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKPS1","12","NOTHING"
"PULKPS1","13","OTHER PASSIVE"
"PULKPS2","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS2","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS2","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS2","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS2","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKPS2","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKPS2","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKPS2","8","PLACED OR ANSWERED ADS"
"PULKPS2","9","OTHER ACTIVE"
"PULKPS2","10","LOOKED AT ADS"
"PULKPS2","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKPS2","13","OTHER PASSIVE"
"PULKPS3","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS3","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS3","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS3","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS3","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKPS3","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKPS3","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKPS3","8","PLACED OR ANSWERED ADS"
"PULKPS3","9","OTHER ACTIVE"
"PULKPS3","10","LOOKED AT ADS"
"PULKPS3","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKPS3","13","OTHER PASSIVE"
"PULKPS4","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS4","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS4","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS4","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS4","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKPS4","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKPS4","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKPS4","8","PLACED OR ANSWERED ADS"
"PULKPS4","9","OTHER ACTIVE"
"PULKPS4","10","LOOKED AT ADS"
"PULKPS4","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKPS4","13","OTHER PASSIVE"
"PULKPS5","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS5","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS5","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS5","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS6","1","CONTACTED EMPLOYER DIRECTLY/INTERVIEW"
"PULKPS6","2","CONTACTED PUBLIC EMPLOYMENT AGENCY"
"PULKPS6","3","CONTACTED PRIVATE EMPLOYMENT AGENCY"
"PULKPS6","4","CONTACTED FRIENDS OR RELATIVES"
"PULKPS6","5","CONTACTED SCHOOL/UNIVERSITY EMPL CENTER"
"PULKPS6","6","SENT OUT RESUMES/FILLED OUT APPLICATION"
"PULKPS6","7","CHECKED UNION/PROFESSIONAL REGISTERS"
"PULKPS6","8","PLACED OR ANSWERED ADS"
"PULKPS6","9","OTHER ACTIVE"
"PULKPS6","10","LOOKED AT ADS"
"PULKPS6","11","ATTENDED JOB TRAINING PROGRAMS/COURSES"
"PULKPS6","13","OTHER PASSIVE"
"PELKAVL","1","YES"
"PELKAVL","2","NO"
"PULKAVR","1","WAITING FOR NEW JOB TO BEGIN"
"PULKAVR","2","OWN TEMPORARY ILLNESS"
"PULKAVR","3","GOING TO SCHOOL"
"PULKAVR","4","OTHER - SPECIFY"
"PELKLL1O","1","WORKING"
"PELKLL1O","2","SCHOOL"
"PELKLL1O","3","LEFT MILITARY SERVICE"
"PELKLL1O","4","SOMETHING ELSE"
"PELKLL2O","1","LOST JOB"
"PELKLL2O","2","QUIT JOB"
"PELKLL2O","3","TEMPORARY JOB ENDED"
"PELKLWO","1","WITHIN THE LAST 12 MONTHS"
"PELKLWO","2","MORE THAN 12 MONTHS AGO"
"PELKLWO","3","NEVER WORKED"
"PELKDUR","0","-118	Weeks looking for work"
"PELKDUR","119","119 or more weeks looking"
"PELKFTO","1","YES"
"PELKFTO","2","NO"
"PELKFTO","3","DOESN'T MATTER"
"PEDWWNTO","1","YES, OR MAYBE, IT DEPENDS"
"PEDWWNTO","2","NO"
"PEDWWNTO","3","RETIRED"
"PEDWWNTO","4","DISABLED"
"PEDWWNTO","5","UNABLE"
"PEDWRSN","1","BELIEVES NO WORK AVAILABLE IN AREA OF EXPERTISE"
"PEDWRSN","2","COULDN'T FIND ANY WORK"
"PEDWRSN","3","LACKS NECESSARY SCHOOLING/TRAINING"
"PEDWRSN","4","EMPLOYERS THINK TOO YOUNG OR TOO OLD"
"PEDWRSN","5","OTHER TYPES OF DISCRIMINATION"
"PEDWRSN","6","CAN'T ARRANGE CHILD CARE"
"PEDWRSN","7","FAMILY RESPONSIBILITIES"
"PEDWLKO","1","YES"
"PEDWLKO","2","NO"
"PEDWWK","1","YES"
"PEDWWK","2","NO"
"PEDW4WK","1","YES"
"PEDW4WK","2","NO"
"PEDWLKWK","1","YES"
"PEDWLKWK","2","NO"
"PEDWAVL","1","YES"
"PEDWAVL","2","NO"
"PEDWAVR","1","OWN TEMPORARY ILLNESS"
"PEDWAVR","2","GOING TO SCHOOL"
"PEDWAVR","3","OTHER"
"PUDWCK1","1","IF ENTRY OF 2 IN BUS2 GOTO PUSCHCK"
"PUDWCK1","2","IF ENTRY OF 3 ON ABSRSN GOTO PUNLFCK1"
"PUDWCK1","3","IF ENTRY OF 1 IN RET1, STORE 1 IN DWWNTO"
"PUDWCK1","4","ALL OTHERS GOTO PUDWWNT"
"PUDWCK2","1","IF ENTRY IN DIS1 OR DIS2 GOTO PUJHCK1-C"
"PUDWCK2","2","IF ENTRY OF 4 IN DWWNT GOTO PUDIS1"
"PUDWCK2","3","IF ENTRY OF 5 IN DWWNT GOTO PUDIS2"
"PUDWCK2","4","ALL OTHERS GOTO PUDWCK4"
"PUDWCK3","1","IF AGERNG EQUALS 1-4 OR 9 GOTO PUDWCK4"
"PUDWCK3","2","ALL OTHERS GOTO PUNLFCK2"
"PUDWCK4","1","-LKPS3 GOTO PUDWCK5"
"PUDWCK4","2","IF ENTRY OF 10 AND/OR 11 AND/OR 13"
"PUDWCK4","3","IF ENTRY OF 10 AND/OR 11 AND/OR 13"
"PUDWCK4","4","ALL OTHERS GOTO PUDWRSN"
"PUDWCK5","1","IF ENTRY OF 1 IN LK THEN STORE 1"
"PUDWCK5","2","ALL OTHERS GOTO PUDWLK"
"PEJHWKO","1","YES"
"PEJHWKO","2","NO"
"PUJHDP1O","1","YES"
"PUJHDP1O","2","NO"
"PEJHRSN","1","PERSONAL/FAMILY (INCLUDING PREGNANCY)"
"PEJHRSN","2","RETURN TO SCHOOL"
"PEJHRSN","3","HEALTH"
"PEJHRSN","4","RETIREMENT OR OLD AGE"
"PEJHRSN","5","TEMP, SEASONAL OR INTERMITTENT JOB COMPLETE"
"PEJHRSN","6","SLACK WORK/BUSINESS CONDITIONS"
"PEJHRSN","7","UNSATISFACTORY WORK ARRANGEMENTS (HRS, PAY, ETC.)"
"PEJHRSN","8","OTHER - SPECIFY"
"PEJHWANT","1","YES, OR IT DEPENDS"
"PEJHWANT","2","NO"
"PUJHCK1","1","PURET1 = 1, -2, OR -3"
"PUJHCK1","2",""
"PUJHCK1","3","ALL OTHERS GOTO PUNLFCK1"
"PUJHCK2","1","IN JHWKO, STORE"
"PUJHCK2","4","WK IN JHDP1O AND GOTO PUJHRSN"
"PUJHCK2","2","IF ENTRY OF 2, D OR R IN DWWK THEN STORE DWWK IN"
"PUJHCK2","3","ALL OTHERS GOTO PUJHWK"
"PRABSREA","1","FT PAID-VACATION"
"PRABSREA","2","FT PAID-OWN ILLNESS"
"PRABSREA","3","FT PAID-CHILD CARE PROBLEMS"
"PRABSREA","4","FT PAID-OTHER FAMILY/PERSONAL OBLIG."
"PRABSREA","5","FT PAID-MATERNITY/PATERNITY LEAVE"
"PRABSREA","6","FT PAID-LABOR DISPUTE"
"PRABSREA","7","FT PAID-WEATHER AFFECTED JOB"
"PRABSREA","8","FT PAID-SCHOOL/TRAINING"
"PRABSREA","9","FT PAID-CIVIC/MILITARY DUTY"
"PRABSREA","10","FT PAID-OTHER"
"PRABSREA","11","FT UNPAID-VACATION"
"PRABSREA","12","FT UNPAID-OWN ILLNESS"
"PRABSREA","13","FT UNPAID-CHILD CARE PROBLEMS"
"PRABSREA","14","FT UNPAID-OTHER FAM/PERSONAL OBLIGATION"
"PRABSREA","15","FT UNPAID-MATERNITY/PATERNITY LEAVE"
"PRABSREA","16","FT UNPAID-LABOR DISPUTE"
"PRABSREA","17","FT UNPAID-WEATHER AFFECTED JOB"
"PRABSREA","18","FT UNPAID-SCHOOL/TRAINING"
"PRABSREA","19","FT UNPAID-CIVIC/MILITARY DUTY"
"PRABSREA","20","FT UNPAID-OTHER"
"PRABSREA","21","PT PAID-VACATION"
"PRABSREA","22","PT PAID-OWN ILLNESS"
"PRABSREA","23","PT PAID-CHILD CARE PROBLEMS"
"PRABSREA","24","PT PAID-OTHER FAMILY/PERSONAL OBLIG."
"PRABSREA","25","PT PAID-MATERNITY/PATERNITY LEAVE"
"PRABSREA","26","PT PAID-LABOR DISPUTE"
"PRABSREA","27","PT PAID-WEATHER AFFECTED JOB"
"PRABSREA","28","PT PAID-SCHOOL/TRAINING"
"PRABSREA","29","PT PAID-CIVIC/MILITARY DUTY"
"PRABSREA","30","PT PAID-OTHER"
"PRABSREA","31","PT UNPAID-VACATION"
"PRABSREA","32","PT UNPAID-OWN ILLNESS"
"PRABSREA","33","PT UNPAID-CHILD CARE PROBLEMS"
"PRABSREA","34","PT UNPAID-OTHER FAM/PERSONAL OBLIGATION"
"PRABSREA","35","PT UNPAID-MATERNITY/PATERNITY LEAVE"
"PRABSREA","36","PT UNPAID-LABOR DISPUTE"
"PRABSREA","37","PT UNPAID-WEATHER AFFECTED JOB"
"PRABSREA","38","PT UNPAID-SCHOOL/TRAINING"
"PRABSREA","39","PT UNPAID-CIVIC/MILITARY DUTY"
"PRABSREA","40","PT UNPAID-OTHER"
"PRCIVLF","01","IN CIVILIAN LABOR FORCE"
"PRCIVLF","02","NOT IN CIVILIAN LABOR FORCE"
"PRDISC","1","DISCOURAGED WORKER"
"PRDISC","2","CONDITIONALLY INTERESTED"
"PRDISC","3","NOT AVAILABLE"
"PREMPHRS","0","UNEMPLOYED AND NILF"
"PREMPHRS","1","W/JOB, NOT AT WORK-ILLNES"
"PREMPHRS","2","W/JOB, NOT AT WORK-VACATION"
"PREMPHRS","3","W/JOB, NOT AT WORK-WEATHER AFFECTED JOB"
"PREMPHRS","4","W/JOB, NOT AT WORK-LABOR DISPUTE"
"PREMPHRS","5","W/JOB, NOT AT WORK-CHILD CARE PROBLEMS"
"PREMPHRS","6","W/JOB, NOT AT WORK-FAM/PERS OBLIGATION"
"PREMPHRS","7","W/JOB, NOT AT WORK-MATERNITY/PATERNITY"
"PREMPHRS","8","W/JOB, NOT AT WORK-SCHOOL/TRAINING"
"PREMPHRS","9","W/JOB, NOT AT WORK-CIVIC/MILITARY DUTY"
"PREMPHRS","10","W/JOB, NOT AT WORK-DOES NOT WORK IN BUS"
"PREMPHRS","11","W/JOB, NOT AT WORK-OTHER"
"PREMPHRS","12","AT WORK- 1-4 HRS"
"PREMPHRS","13","AT WORK- 5-14 HRS"
"PREMPHRS","14","AT WORK- 15-21 HRS"
"PREMPHRS","15","AT WORK- 22-29 HRS"
"PREMPHRS","16","AT WORK- 30-34 HRS"
"PREMPHRS","17","AT WORK- 35-39 HRS"
"PREMPHRS","18","AT WORK- 40 HRS"
"PREMPHRS","19","AT WORK- 41-47 HRS"
"PREMPHRS","20","AT WORK- 48 HRS"
"PREMPHRS","21","AT WORK- 49-59 HRS"
"PREMPHRS","22","AT WORK- 60 HRS OR MORE"
"PREMPNOT","1","EMPLOYED"
"PREMPNOT","2","UNEMPLOYED"
"PREMPNOT","3","NOT IN LABOR FORCE (NILF)-discouraged"
"PREMPNOT","4","NOT IN LABOR FORCE (NILF)-other"
"PREXPLF","1","EMPLOYED"
"PREXPLF","2","UNEMPLOYED"
"PRFTLF","1","FULL TIME LABOR FORCE"
"PRFTLF","2","PART TIME LABOR FORCE"
"PRHRUSL","1","0-20 HRS"
"PRHRUSL","2","21-34 HRS"
"PRHRUSL","3","35-39 HRS"
"PRHRUSL","4","40 HRS"
"PRHRUSL","5","41-49 HRS"
"PRHRUSL","6","50 OR MORE HRS"
"PRHRUSL","7","VARIES-FULL TIME"
"PRHRUSL","8","VARIES-PART TIME"
"PRJOBSEA","1","LOOKED LAST 12 MONTHS, SINCE COMPLETING PREVIOUS JOB"
"PRJOBSEA","2","LOOKED AND WORKED IN THE LAST 4 WEEKS"
"PRJOBSEA","3","LOOKED LAST 4 WEEKS - LAYOFF"
"PRJOBSEA","4","UNAVAILABLE JOB SEEKERS"
"PRJOBSEA","5","NO RECENT JOB SEARCH"
"PRPTHRS","0","USUALLY FT, PT FOR NONECONOMIC REASONS"
"PRPTHRS","1","USUALLY.FT, PT ECON REASONS; 1-4 HRS"
"PRPTHRS","2","USUALLY.FT, PT ECON REASONS; 5-14 HRS"
"PRPTHRS","3","USUALLY.FT, PT ECON REASONS; 15-29 HRS"
"PRPTHRS","4","USUALLY.FT, PT ECON REASONS; 30-34 HRS"
"PRPTHRS","5","USUALLY.PT, ECON REASONS; 1-4 HRS"
"PRPTHRS","6","USUALLY.PT, ECON REASONS; 5-14 HRS"
"PRPTHRS","7","USUALLY.PT, ECON REASONS; 15-29 HRS"
"PRPTHRS","8","USUALLY.PT, ECON REASONS; 30-34 HRS"
"PRPTHRS","9","USUALLY.PT, NON-ECON REASONS; 1-4 HRS"
"PRPTHRS","10","USUALLY.PT, NON-ECON REASONS; 5-14 HRS"
"PRPTHRS","11","USUALLY.PT, NON-ECON REASONS; 15-29 HRS"
"PRPTHRS","12","USUALLY.PT, NON-ECON REASONS; 30-34 HRS"
"PRPTREA","1","USU. FT-SLACK WORK/BUSINESS CONDITIONS"
"PRPTREA","2","USU. FT-SEASONAL WORK"
"PRPTREA","3","USU. FT-JOB STARTED/ENDED DURING WEEK"
"PRPTREA","4","USU. FT-VACATION/PERSONAL DAY"
"PRPTREA","5","USU. FT-OWN ILLNESS/INJURY/MEDICAL APPOINTMENT"
"PRPTREA","6","USU. FT-HOLIDAY (RELIGIOUS OR LEGAL)"
"PRPTREA","7","USU. FT-CHILD CARE PROBLEMS"
"PRPTREA","8","USU. FT-OTHER FAM/PERS OBLIGATIONS"
"PRPTREA","9","USU. FT-LABOR DISPUTE"
"PRPTREA","10","USU. FT-WEATHER AFFECTED JOB"
"PRPTREA","11","USU. FT-SCHOOL/TRAINING"
"PRPTREA","12","USU. FT-CIVIC/MILITARY DUTY"
"PRPTREA","13","USU. FT-OTHER REASON"
"PRPTREA","14","USU. PT-SLACK WORK/BUSINESS CONDITIONS"
"PRPTREA","15","USU. PT-COULD ONLY FIND PT WORK"
"PRPTREA","16","USU. PT-SEASONAL WORK"
"PRPTREA","17","USU. PT-CHILD CARE PROBLEMS"
"PRPTREA","18","USU. PT-OTHER FAM/PERS OBLIGATIONS"
"PRPTREA","19","USU. PT-HEALTH/MEDICAL LIMITATIONS"
"PRPTREA","20","USU. PT-SCHOOL/TRAINING"
"PRPTREA","21","USU. PT-RETIRED/S.S. LIMIT ON EARNINGS"
"PRPTREA","22","USU. PT-WORKWEEK <35 HOURS"
"PRPTREA","23","USU. PT-OTHER REASON"
"PRUNEDUR","0","MIN VALUE"
"PRUNEDUR","119","MAX VALUE"
"PRUNTYPE","1","JOB LOSER/ON LAYOFF"
